dataset, k, time, layersize
anti_2.txt, 1, 36, 1
anti_2.txt, 2, 28, 2
anti_2.txt, 4, 42, 4
anti_2.txt, 8, 70, 8
anti_2.txt, 16, 219, 16
anti_2.txt, 32, 765, 32
anti_2.txt, 64, 1000, 48
anti_4.txt, 1, 909, 1
anti_4.txt, 2, 1129, 2
anti_4.txt, 4, 1135, 3
anti_4.txt, 8, 1191, 3
anti_4.txt, 16, 1086, 3
anti_4.txt, 32, 1100, 3
anti_4.txt, 64, 1075, 3
anti_6.txt, 1, 781, 1
anti_6.txt, 2, 873, 2
anti_6.txt, 4, 877, 2
anti_6.txt, 8, 878, 2
anti_6.txt, 16, 878, 2
anti_6.txt, 32, 879, 2
anti_6.txt, 64, 879, 2
anti_8.txt, 1, 773, 1
anti_8.txt, 2, 1588, 2
anti_8.txt, 4, 1636, 4
anti_8.txt, 8, 1642, 4
anti_8.txt, 16, 1817, 4
anti_8.txt, 32, 1646, 4
anti_8.txt, 64, 1642, 4
corr_2.txt, 1, 6, 1
corr_2.txt, 2, 5, 2
corr_2.txt, 4, 6, 4
corr_2.txt, 8, 6, 8
corr_2.txt, 16, 5, 16
corr_2.txt, 32, 6, 32
corr_2.txt, 64, 9, 64
corr_4.txt, 1, 6, 1
corr_4.txt, 2, 6, 2
corr_4.txt, 4, 8, 4
corr_4.txt, 8, 37, 8
corr_4.txt, 16, 287, 16
corr_4.txt, 32, 2053, 32
corr_4.txt, 64, 2483, 41
corr_6.txt, 1, 9, 1
corr_6.txt, 2, 42, 2
corr_6.txt, 4, 315, 4
corr_6.txt, 8, 1377, 8
corr_6.txt, 16, 1823, 13
corr_6.txt, 32, 1838, 13
corr_6.txt, 64, 1815, 13
corr_8.txt, 1, 62, 1
corr_8.txt, 2, 415, 2
corr_8.txt, 4, 1241, 4
corr_8.txt, 8, 1547, 7
corr_8.txt, 16, 1559, 7
corr_8.txt, 32, 1580, 7
corr_8.txt, 64, 1565, 7
inde_2.txt, 1, 3, 1
inde_2.txt, 2, 5, 2
inde_2.txt, 4, 6, 4
inde_2.txt, 8, 4, 8
inde_2.txt, 16, 8, 16
inde_2.txt, 32, 26, 32
inde_2.txt, 64, 191, 64
inde_4.txt, 1, 9, 1
inde_4.txt, 2, 14, 2
inde_4.txt, 4, 55, 4
inde_4.txt, 8, 347, 8
inde_4.txt, 16, 1583, 16
inde_4.txt, 32, 1862, 22
inde_4.txt, 64, 1844, 22
inde_6.txt, 1, 26, 1
inde_6.txt, 2, 151, 2
inde_6.txt, 4, 740, 4
inde_6.txt, 8, 1517, 8
inde_6.txt, 16, 1521, 10
inde_6.txt, 32, 1532, 10
inde_6.txt, 64, 1512, 10
inde_8.txt, 1, 168, 1
inde_8.txt, 2, 826, 2
inde_8.txt, 4, 1335, 4
inde_8.txt, 8, 1382, 6
inde_8.txt, 16, 1400, 6
inde_8.txt, 32, 1394, 6
inde_8.txt, 64, 1382, 6
nba_5.txt, 1, 0, 1
nba_5.txt, 2, 1, 2
nba_5.txt, 4, 6, 4
nba_5.txt, 8, 25, 8
nba_5.txt, 16, 25, 14
nba_5.txt, 32, 32, 14
nba_5.txt, 64, 27, 14
test_2.txt, 1, 0, 1
test_2.txt, 2, 0, 2
test_2.txt, 4, 0, 4
test_2.txt, 8, 0, 4
test_2.txt, 16, 0, 4
test_2.txt, 32, 0, 4
test_2.txt, 64, 0, 4
