dataset,k,time
datasets/anti_2.txt,2,2
datasets/anti_4.txt,2,11
datasets/anti_6.txt,2,5
datasets/anti_8.txt,2,5
datasets/corr_2.txt,2,0
datasets/corr_4.txt,2,0
datasets/corr_6.txt,2,1
datasets/corr_8.txt,2,2
datasets/inde_2.txt,2,0
datasets/inde_4.txt,2,0
datasets/inde_6.txt,2,2
datasets/inde_8.txt,2,3
datasets/nba_5.txt,2,0
datasets/test_2.txt,2,0
datasets/anti_2.txt,4,5
datasets/anti_4.txt,4,5
datasets/anti_6.txt,4,7
datasets/anti_8.txt,4,7
datasets/corr_2.txt,4,0
datasets/corr_4.txt,4,1
datasets/corr_6.txt,4,1
datasets/corr_8.txt,4,3
datasets/inde_2.txt,4,0
datasets/inde_4.txt,4,0
datasets/inde_6.txt,4,3
datasets/inde_8.txt,4,4
datasets/nba_5.txt,4,0
datasets/test_2.txt,4,0
datasets/anti_2.txt,8,4
datasets/anti_4.txt,8,5
datasets/anti_6.txt,8,7
datasets/anti_8.txt,8,8
datasets/corr_2.txt,8,0
datasets/corr_4.txt,8,1
datasets/corr_6.txt,8,5
datasets/corr_8.txt,8,4
datasets/inde_2.txt,8,1
datasets/inde_4.txt,8,2
datasets/inde_6.txt,8,4
datasets/inde_8.txt,8,1
datasets/nba_5.txt,8,1
datasets/test_2.txt,8,0
datasets/anti_2.txt,16,4
datasets/anti_4.txt,16,5
datasets/anti_6.txt,16,6
datasets/anti_8.txt,16,6
datasets/corr_2.txt,16,0
datasets/corr_4.txt,16,1
datasets/corr_6.txt,.16,4
datasets/corr_8.txt,16,4
datasets/inde_2.txt,16,0
datasets/inde_4.txt,16,3
datasets/inde_6.txt,16,2
datasets/inde_8.txt,16,1
datasets/nba_5.txt,16,0
datasets/test_2.txt,16,0
datasets/anti_2.txt,10000,5
datasets/anti_4.txt,10000,5
datasets/anti_6.txt,10000,7
datasets/anti_8.txt,10000,4
datasets/corr_2.txt,10000,37
datasets/corr_4.txt,10000,5
datasets/corr_6.txt,10000,4
datasets/corr_8.txt,10000,6
datasets/inde_2.txt,10000,4
datasets/inde_4.txt,10000,4
datasets/inde_6.txt,10000,6
datasets/inde_8.txt,10000,5
datasets/nba_5.txt,10000,0
datasets/test_2.txt,10000,0

